CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL;;;;;;;Err:501
Otros;Cataluña;Lleida;4,09;37;4,27;;;;;;;
Otros;Cataluña;Tarragona;3,92;663;4,22;;;;;;;
Otros;Comunidad Foral De Navarra;Navarra;4,35;222;4,27;;;;;;;
Otros;Comunidad de Madrid;Madrid;3,67;645;4,19;;;;;;;
Otros;Comunitat Valenciana;Alicante/Alacant;4,16;234;4,29;;;;;;;
Otros;Comunitat Valenciana;Castellon/Castello;3,94;108;4,27;;;;;;;
Otros;Comunitat Valenciana;Valencia/ValEncia;3,95;228;4,2;;;;;;;
Otros;Extremadura;Badajoz;3,95;136;4,34;;;;;;;
Otros;Extremadura;Caceres;4,35;250;4,39;;;;;;;
Otros;Galicia;A Coruña;4,07;77;4,26;;;;;;;
Otros;Galicia;Lugo;3,88;80;4,29;;;;;;;
Otros;Galicia;Ourense;4,73;13;4,23;;;;;;;
Otros;Galicia;Pontevedra;4,41;58;4,2;;;;;;;
Otros;Illes Balears;Balears;3,76;213;4,36;;;;;;;
Otros;La Rioja;La Rioja;4,07;136;4,33;;;;;;;
Otros;Pais Vasco;Bizkaia;4,82;394;4,36;;;;;;;
Otros;Pais Vasco;Gipuzkoa;3,87;22;4,4;;;;;;;
Otros;Principado de Asturias;Asturias;4,28;77;4,38;;;;;;;
Otros;Region De Murcia;Murcia;3,4;5;4,26;;;;;;;
Paisaje Naturaleza;Andalucia;AlmerIa;4,31;1691;4,26;;;;;;;
Paisaje Naturaleza;Andalucia;Cadiz;4,27;5426;4,31;;;;;;;
Paisaje Naturaleza;Andalucia;Cordoba;4,34;805;4,31;;;;;;;
Paisaje Naturaleza;Andalucia;Granada;4,51;5033;4,41;;;;;;;
Paisaje Naturaleza;Andalucia;Huelva;4,09;1483;4,15;;;;;;;
Paisaje Naturaleza;Andalucia;JaEn;4,31;592;4,39;;;;;;;
Paisaje Naturaleza;Andalucia;Malaga;4,45;22542;4,46;;;;;;;
Paisaje Naturaleza;Andalucia;Sevilla;4,69;11761;4,36;;;;;;;
Paisaje Naturaleza;Aragon;Huesca;4,42;4040;4,27;;;;;;;
Paisaje Naturaleza;Aragon;Teruel;4,35;464;4,28;;;;;;;
